file,n,body_tag,f1,f2,f3,f4,identity,packed_offset,packed_size,packed_payload_sha1_8
prosim1.xtc,64,0x15,0.818823516368866,0.5490196347236633,3185.294189453125,18629.1171875,ID03,24979,341,9e02599f
prosim1.xtc,65,0x15,0.8093023300170898,0.5586034655570984,3653.8603515625,18640.884765625,ID05,25320,308,fc97675b
prosim1.xtc,66,0x15,0.8508557677268982,0.6103542447090149,4120.6796875,18620.4609375,ID01,25628,415,25c129ad
prosim1.xtc,67,0x15,0.9086161851882935,0.5551425218582153,4506.48583984375,18623.62890625,ID09,26043,324,fa28b452
prosim1.xtc,68,0x15,0.7750557065010071,0.6170799136161804,5021.81298828125,18626.736328125,ID06,26367,1263,baf8e314
prosim1.xtc,69,0x15,1.03125,0.6777609586715698,4115.78125,22775.248046875,ID08,27630,115,573b384f
prosim1.xtc,70,0x15,1.03125,0.6777609586715698,4565.78125,22775.248046875,ID08,27745,115,0162a499
prosim1.xtc,71,0x15,0.6397058963775635,0.6637036800384521,5134.71337890625,22765.0390625,ID04,27860,233,ac39732e
prosim1.xtc,72,0x15,0.818823516368866,0.5833333134651184,5573.6845703125,22824.416015625,ID03,28093,309,9b8b6510
prosim1.xtc,73,0x15,1.0192307233810425,1.0144927501678467,5871.115234375,22551.203125,ID10,28402,89,97d68786
prosim1.xtc,74,0x15,0.8074246048927307,0.5699745416641235,6444.56591796875,22841.494140625,ID02,28491,250,8f3a5261
prosim1.xtc,75,0x15,0.6397058963775635,0.6637036800384521,6934.71337890625,22765.0390625,ID04,28741,233,bbc78d09
prosim1.xtc,76,0x15,1.03125,0.6777609586715698,7265.78125,22775.248046875,ID08,28974,114,810df937
